id,name,transliterated_name,viaf_id,wikidata_id
551,Любовь Аркус,Li͡ubovʹ  Arkus,185692094,Q4069490
553,Дмитрий Адамович,Dmitriĭ  Adamovich,'2708148814296345214976',
554,Оля Пчела,Oli͡a  Pchela,,
555,Катя Эрдеш,Kati͡a  Ėrdesh,,
556,Андрей Пермяков,Andreĭ  Permi͡akov,'5333154137644315181056',Q15699937
557,Алексей Евстратов,Alekseĭ  Evstratov,,
558,Арсений Ли,Arseniĭ  Li,,
559,Алла Поспелова,Alla  Pospelova,'63153651764955783168',
561,Алексей Григорьев,Alekseĭ  Hrigorʹev,206052065,
562,Ральф Фюкс,Ralʹf  Fi͡uks,,
563,Йоханнес Фосвинкель,Ĭokhannes  Fosvinkelʹ,,
564,Александр Аммосов,Aleksandr  Ammosov,298824650,
567,Николай Плант,Nikolaĭ  Plant,,
570,Илья Барамия,Ilʹi͡a  Baramii͡a,,Q85858259
571,Владимир Седельников,Vladimir  Sedelʹnikov,,Q16695837
572,Юлиана Владимировна Каминская,I͡Uliana Vladimirovna Kaminskai͡a,,
573,Григорий Томашевский,Hrigoriĭ  Tomashevskiĭ,,
575,Валерий Земских,Valeriĭ  Zemskikh,9063429,
577,Дмитрий Птица,Dmitriĭ  Ptit͡sa,,
579,Марина Кацуба,Marina  Kat͡suba,,
580,Александр Проханов,Aleksandr  Prokhanov,13112885,Q607825
581,Юрий Гальперин,I͡Uriĭ  Halʹperin,64420217,Q4132890
584,Арон Зинштейн,Aron  Zinshteĭn,268346365,Q4192256
585,Николай Кононов,Nikolaĭ  Kononov,296802516,Q4231091
586,Алексей Конаков,Alekseĭ  Konakov,'18150083716114941952',Q84724307
587,Анаит Григорян,Anait  Hrigori͡an,'1991161514240370802688',
588,Феликс Якубсон,Feliks  I͡Akubson,'10156988787960999936',
589,Игорь Лисов,Igorʹ  Lisov,,
591,Борис Останин,Boris  Ostanin,303717832,Q2911014
592,Роман Белоусов,Roman  Belousov,6319865,
593,Софья Стратонникова,Sofʹi͡a  Stratonnikova,,
595,Борис Лихтенфельд,Boris  Likhtenfelʹd,31549956,
596,Жанна Сизова,Zhanna  Sizova,96830587,
597,Дмитрий Болотов,Dmitriĭ  Bolotov,305269989,
598,Наталья Казанкина,Natalʹi͡a  Kazankina,,
599,Владимир Стерлигов,Vladimir  Sterligov,35524911,
